Date,Open,High,Low,Close,Volume
2021.02.23,54790.66,54900.54,44947.5,47904.26,69277
2021.02.24,47909.26,51313.51,46888.38,48708.38,57117
2021.02.25,48713.38,52071.68,48024.13,48057.1,50054
2021.02.26,48062.1,48813.27,44001.56,45596.81,63079
2021.02.27,45636.77,48315.81,45014.45,46860.41,49553
2021.02.28,46859.41,46859.41,43148.5,45248.19,51207
2021.03.01,45253.19,49400.62,44875.61,48804.27,47705
2021.03.02,48809.27,50100.85,47126.12,47454.76,44012
2021.03.03,47459.76,52528.17,47410.81,50941.92,43748
2021.03.04,50946.92,51739.04,47570.63,47923.24,50994
2021.03.05,47928.24,49453.56,46385.94,49146.9,45947
2021.03.06,49080.97,49395.63,47127.12,48527.58,36277
2021.03.07,48540.56,51312.51,48462.65,50081.87,34726
2021.03.08,50086.87,51951.81,49334.69,51850.92,35337
2021.03.09,51855.92,54797.67,51473.34,54324.19,32951
2021.03.10,54327.19,57399.81,53116.52,56926.33,37283
2021.03.11,56931.33,57949.2,54361.15,57643.54,42277
2021.03.12,57648.54,58215.91,55142.29,56981.27,43158
2021.03.13,60283.63,61644.13,59994.95,61074.76,4536
2021.03.14,61075.76,61645.13,59230.79,60017.92,36604
2021.03.15,60022.92,60678.2,54525.97,56760.51,44565
2021.03.16,56752.99,56937.32,53326.29,56437.87,45885
2021.03.17,56398.91,58454.65,53999.55,58300.82,40933
2021.03.18,58467.99,60089.85,57001.25,57881.28,38863
2021.03.19,57894.99,59430.57,56236.09,58622.46,36295
2021.03.20,59160.87,59460.54,58025.12,58675.4,4190
2021.03.21,58674.4,58704.37,55335.08,58004.14,30264
2021.03.22,58137.99,58411.69,54117.42,54529.97,38231
2021.03.23,54567.99,55774.6,52833.84,54619.87,41512
2021.03.24,54619.87,57157.08,53161.48,53732.85,39325
2021.03.25,53748.99,53748.99,50341.58,52394.32,48765
2021.03.26,52446.99,54529.97,51263.57,54481.02,32911
2021.03.27,54486.02,56607.68,53970.58,56421.88,33277
2021.03.28,56421.88,56564.73,54759.72,54839.63,30790
2021.03.29,54843.62,58354.76,54801.67,57262.96,31048
2021.03.30,57263.96,59474.52,57092.15,58656.42,24345
2021.03.31,58631.45,59840.12,56807.46,58917.14,28133
2021.04.01,58932.12,59436.56,57911.24,58819.24,28062
2021.04.02,58816.25,60142.79,58310.8,58585.5,24257
2021.04.03,59224.8,59754.22,57740.43,57936.22,14818
2021.04.04,57931.22,58434.67,56457.85,57993.15,30924
2021.04.05,57993.15,59203.82,56810.46,58753.32,22052
2021.04.06,58765.3,59452.55,57360.85,58168.96,21932
2021.04.07,58168.96,58558.53,55513.88,56159.17,30892
2021.04.08,56159.17,58110.03,55677.7,57652.53,23591
2021.04.09,57652.53,58839.99,57461.74,58318.8,17407
2021.04.10,58315.8,61194.63,57856.31,58613.47,21518
2021.04.11,58608.48,60674.2,58505.59,59649.33,25750
2021.04.12,59649.33,61281.53,59411.6,60015.93,23652
2021.04.13,60014.93,63395.21,59781.99,63125.5,29753
2021.04.14,63120.51,64776.68,61302.51,62379.32,34386
2021.04.15,62379.32,63644.93,61951.8,63389.21,29201
